Model,Mean Squared Error,Mean Absolute Error,R2 Score
XGBRegressor,2.9599371498572826,1.1486896079150593,0.9658392957301534
DecisionTreeRegressor,7.212009194363906,1.6394752810064426,0.9167660322476917
RandomForestRegressor,2.744133423718993,1.0650653945352988,0.9683298916096289
GradientBoostingRegressor,4.550631343517224,1.536409924101503,0.9474810566249753
